,year,month,pagecount_all_views,pagecount_desktop_views,pagecount_mobile_views,pageview_all_views,pageview_desktop_views,pageview_mobile_views
73,2014,01,7026531269.0,7026531269.0,0.0,0.0,0.0,0.0
74,2014,02,6718243109.0,6718243109.0,0.0,0.0,0.0,0.0
75,2014,03,7464128273.0,7464128273.0,0.0,0.0,0.0,0.0
76,2014,04,7216245221.0,7216245221.0,0.0,0.0,0.0,0.0
77,2014,05,7543277646.0,7543277646.0,0.0,0.0,0.0,0.0
78,2014,06,6577352648.0,6577352648.0,0.0,0.0,0.0,0.0
79,2014,07,6761059566.0,6761059566.0,0.0,0.0,0.0,0.0
80,2014,08,6687313714.0,6687313714.0,0.0,0.0,0.0,0.0
81,2014,09,7564600999.0,7564600999.0,0.0,0.0,0.0,0.0
82,2014,10,9669079813.0,6577533128.0,3091546685.0,0.0,0.0,0.0
83,2014,11,9181027274.0,6153537606.0,3027489668.0,0.0,0.0,0.0
84,2014,12,9109282269.0,5830332248.0,3278950021.0,0.0,0.0,0.0
85,2015,01,9589069146.0,6103767055.0,3485302091.0,0.0,0.0,0.0
86,2015,02,8694244918.0,5602710439.0,3091534479.0,0.0,0.0,0.0
87,2015,03,9677435301.0,6346602713.0,3330832588.0,0.0,0.0,0.0
88,2015,04,9421035574.0,6198945657.0,3222089917.0,0.0,0.0,0.0
89,2015,05,9657871297.0,6323801814.0,3334069483.0,0.0,0.0,0.0
90,2015,06,8203576103.0,5165413640.0,3038162463.0,0.0,0.0,0.0
91,2015,07,8483698717.0,5229226022.0,3254472695.0,6021044333.0,4376666686.0,1644377647.0
92,2015,08,8304022031.0,5035534449.0,3268487582.0,5983648702.0,4332482183.0,1651166519.0
93,2015,09,8582061182.0,5409631355.0,3172429827.0,6070593370.5,4485491704.0,1585101666.5
94,2015,10,8781786976.0,5535704471.0,3246082505.0,6111782321.0,4477532755.0,1634249566.0
95,2015,11,8515190628.0,5296956116.0,3218234512.0,5906020755.0,4287720220.0,1618300535.0
96,2015,12,8651858036.0,5264446173.0,3387411863.0,5788149690.5,4100012037.0,1688137653.5
97,2016,01,9309261244.0,5569632502.0,3739628742.0,6295097880.0,4436179457.0,1858918423.0
98,2016,02,8680940753.0,5347709361.0,3333231392.0,5918428321.0,4250997185.0,1667431136.0
99,2016,03,8827529692.0,5407676056.0,3419853636.0,5979932521.5,4286590426.0,1693342095.5
100,2016,04,8873620523.0,5572235399.0,3301385124.0,5778765858.0,4149383857.0,1629382001.0
101,2016,05,8748968139.0,5330532334.0,3418435805.0,5889294712.0,4191778094.0,1697516618.0
102,2016,06,8347710510.0,4975092447.0,3372618063.0,5566235183.5,3888839711.0,1677395472.5
103,2016,07,8864627560.0,5363966439.0,3500661121.0,6086152708.0,4337865827.0,1748286881.0
104,2016,08,1393717189.0,913675893.0,480041296.0,6452955867.5,4695046216.0,1757909651.5
105,2016,09,0.0,0.0,0.0,5831649388.5,4135006498.0,1696642890.5
106,2016,10,0.0,0.0,0.0,6116379635.5,4361737690.0,1754641945.5
107,2016,11,0.0,0.0,0.0,6187590698.5,4392068236.0,1795522462.5
108,2016,12,0.0,0.0,0.0,6097880505.5,4209608578.0,1888271927.5
109,2017,01,0.0,0.0,0.0,6637961169.0,4521980398.0,2115980771.0
110,2017,02,0.0,0.0,0.0,5882582862.5,4026702163.0,1855880699.5
111,2017,03,0.0,0.0,0.0,6271718896.5,4319971902.0,1951746994.5
112,2017,04,0.0,0.0,0.0,5771268551.5,3951456992.0,1819811559.5
113,2017,05,0.0,0.0,0.0,6031214439.0,4187870579.0,1843343860.0
114,2017,06,0.0,0.0,0.0,5364242593.5,3604550997.0,1759691596.5
115,2017,07,0.0,0.0,0.0,5427974170.5,3565444544.0,1862529626.5
116,2017,08,0.0,0.0,0.0,5386275464.0,3575572313.0,1810703151.0
117,2017,09,0.0,0.0,0.0,5313250076.5,3547447892.0,1765802184.5
118,2017,10,0.0,0.0,0.0,5744211910.0,3907651639.0,1836560271.0
119,2017,11,0.0,0.0,0.0,5651066953.5,3816060923.0,1835006030.5
120,2017,12,0.0,0.0,0.0,5555459248.0,3640391096.0,1915068152.0
121,2018,01,0.0,0.0,0.0,6241474874.5,4111833689.0,2129641185.5
122,2018,02,0.0,0.0,0.0,5497494058.0,3634653694.0,1862840364.0
123,2018,03,0.0,0.0,0.0,5990209053.5,3965271925.0,2024937128.5
124,2018,04,0.0,0.0,0.0,5726654474.5,3762955419.0,1963699055.5
